filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,ctxr3_converted,non_upscaled_version,npot_resized,dxt5
00057eda,c9758938dfa1309446faa6de62f96a1719e127c3,341a7ff965561ff8ae768b675877eabebc68f219,true,ps2 textures\HAS ALPHA\same sha1\no_mip_fixes\ui,false,true,5,remarci_4x_extra_smooth,false,0,false,false
000589dd.img,2db957073a631ca19adc409d9ea68dba8c0db6f1,d3a13da239b3cf05e00d6fe0247583e73a02a9d8,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0005cada,f7d34794449943a1efa434e3d04b64c3691f5ce3,8363ae2f5263b46a2363003c8e71b42b7340e4ba,true,ps2 textures\OPAQUE\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false,false
00063160,13c8dd6fcf80ed1626a6734bce3c50897c26e80a,ef99290772a0000b0e725f7b2996660f6bff0070,true,ps2 textures\HAS ALPHA\same sha1\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
000641cb,cf212ac08bdea714c35db2286cd0eaf551e326a9,9f92d3e23f9fc24893796541b0512162fd459535,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
00064917.img,d130374a47f8e57e0cd07fa39e65ac181e0104a6,d766cdcf75e7bc3b99127859664f482168a73eee,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0006afc6,846b97d9553806fa0bbaf906a39a4febdab4317d,074bb2d573d5c7673efa9cf8ed059128077a6ca7,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0007080a.img,33f071b3326da755795e4e1235845e2297b5d5db,9cdcd59e2071be2b1da95aa38d9c17f1441492ac,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
00070eff,ce508860248f5da3bc978d581acf0cf767e2425b,078b454bf7ac0be0d1fc98e71dd3516c39bee37f,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
000731a5,b61897fe15b3d4026022256524ed86c41cb97264,9debf1024609e637e9bd9ce667571e6fb46c617a,true,ps2 textures\OPAQUE\same sha1\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false,false
000737d1,53965b309b2f4aa3d941f78c500d53f31cd78643,fd2495de8fb44ed4889c9aaabb78fbf3ca7016da,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
00075c08,f979d1c6f5fdc18a278aad8ee373cd6cb8dae84e,8a0a78e0af6f28fd7f9085311380ddb974378a62,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
00078701.img,49ce30f7217b3de85275713b381a499e0cf2980f,92f6277e7d56c4af8943e345a332fb76dd0054e2,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
00085893,8aa877743cb47eb72436f474945d27b9a41024ae,3d4b0196845448dcfce7ce94ec7b512ae96d9bcc,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
000896f0,e2217db3e4b72959686a3fecb5a969aebe738e29,512c82c71ccb1b591793a9b5421d4142d57c13f4,true,ps2 textures\HAS ALPHA\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
0008c0c8,dcbc0b063a3aea628b662887d0793d7d8d2aec45,234300b6a5e7c06d472262ceec1fefe44af55975,true,ps2 textures\OPAQUE\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false,false
00090e7c,97db4dd0b09236af2a9a8e11acc1a20ba6a42e7c,fe251aa02262e2cc4becc6b187166cb166281e7b,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
000a365b,4ff8be52a822e8f08fecabeb4e1d86329738ec28,9202270ad90680cdaef6f1374a9cdcf7c4d84bb7,true,ps2 textures\OPAQUE\same sha1\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false,false
000a4397,2485196d30a430143dd31a29a79a00eb554587c8,5689715dc90a4815025a62cc33b7afa75d968e1a,true,mc textures\OPAQUE\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false,false
000aaff5,fe2c4871028e696eaa966b4ec18871900cb5f128,cfc38bf11a9b588b7a8f0a50142444670658c912,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
000ab6a2,cc9ce020df580d3c63cc382d27003745d8daf98a,28a476a3a0a4bb259eac447037a598e26cd580b0,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
000ac0c1,f33c26b5e4eb528ea9bee160dd6883250af3ed4e,3c4b741d6a07f8476ad4f93c1a64042c681bc5a8,true,mc textures\OPAQUE\bp_remade\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false,false
000ac2c8,8375569adc5c1910ced18cb430232e605a8a8a26,f251099c1ef1d724f66ec47a2262cd734b5eac2f,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
000adf24,9440d8cffaa1364dc12230547a741834cb7f9998,c858365e68384b105c06efa2919998da5b18642d,true,ps2 textures\HAS ALPHA\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
000af144,f944e9c226879761de0221cd0cac7ec8572b9dae,839f68a4c989e6c85aa2f2f6c870cf2d4a6c97c1,true,ps2 textures\OPAQUE\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false,false
000bac79.img,5aa740a666a338433a5945c8a97ea4173caa957c,3aba1daba0321f3b3e79c6a7aa3796b64aef58bb,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
000baecd.img,7178a51902a8e5fd1ddcbe970954e2a2b4af4bc6,b4d4d699337a523385843a65f9df5b2f814a3ae4,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
000baff5,ff3f6f2a1cf219a7f2293145d6014582f663293c,08cb4583c37faeedc0bac6836c7e9aa59c5b1d27,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
000bfb12,e52f5f18dc48d9e3ac70e3db81e1a3b038ab2bb7,32fb6d23767613cbd60b929f5eb9fca6b654c15a,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
000c4fe7,e71aa881f829ff2c6278618833029b625dbf6cea,4e145cc1dabffe4cf0b055930b2380e9e291b455,true,ps2 textures\OPAQUE\same sha1\no_mip_fixes\ui,true,true,5,remarci_4x,false,0,false,false
000cd008,9b19168b47d483a20bc2d45584a2e496baf6a2de,c259c5e385a7d43cbd9800c6a1d7ea87a76ee1bf,true,ps2 textures\HAS ALPHA\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
000cd008_13565e4a4f19bb786921d49144460da5,dc95f7102c87b655bd5c51554b483d9bd2b0177f,7639bf4406fd9b2f4446ef22016752f6aa7b4762,true,ps2 textures\HAS ALPHA\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
000d0167,d63cf4ba5bc179f4ca5a94cd3948384169057043,2ceaa0fba66cd3b00497655b37067e71cb576bb6,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
000d6f06,c0b2d7769d0a15972634c150f782cdc216c1bd32,3a39cb0a2cda082d08ac34f6224e9d7c5844f2fd,true,mc textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,false,0,false,false
000d9828,fc16377aa746e0cdd99fa785364dcc5d2d1af70f,ec4ef3c48fea25f23834c38ed2fc028869927ab7,true,ps2 textures\HAS ALPHA\same sha1\no_mip_fixes\ui,false,true,5,remarci_4x_extra_smooth,false,0,false,false
